Provinsi,Tahun,PDRB_per_kapita_Rupiah,satuan
NUSA TENGGARA BARAT,2024,32282100.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2024,24271840.0,RIBU RUPIAH
KALIMANTAN BARAT,2024,52702700.0,RIBU RUPIAH
KALIMANTAN TENGAH,2024,79319740.0,RIBU RUPIAH
KALIMANTAN SELATAN,2024,67117250.0,RIBU RUPIAH
KALIMANTAN TIMUR,2024,212175200.0,RIBU RUPIAH
KALIMANTAN UTARA,2024,198429100.0,RIBU RUPIAH
SULAWESI UTARA,2024,69352240.0,RIBU RUPIAH
SULAWESI TENGAH,2024,120749570.0,RIBU RUPIAH
SULAWESI SELATAN,2024,73573330.0,RIBU RUPIAH
SULAWESI TENGGARA,2024,67839910.0,RIBU RUPIAH
GORONTALO,2024,44432950.0,RIBU RUPIAH
SULAWESI BARAT,2024,42717880.0,RIBU RUPIAH
MALUKU,2024,32198140.0,RIBU RUPIAH
MALUKU UTARA,2024,70659570.0,RIBU RUPIAH
PAPUA BARAT,2024,131636450.00000001,RIBU RUPIAH
PAPUA BARAT DAYA,2024,59063540.0,RIBU RUPIAH
PAPUA,2024,81009150.0,RIBU RUPIAH
PAPUA SELATAN,2024,61583450.0,RIBU RUPIAH
PAPUA TENGAH,2024,118773530.0,RIBU RUPIAH
PAPUA PEGUNUNGAN,2024,18105380.0,RIBU RUPIAH
