Provinsi,Tahun,Timbulan_Tahunan_ton,Timbulan_Harian_ton,PDRB_per_kapita_Rupiah,Jumlah_Fasilitas,Infra_Sampahmasuk_ton,Jumlah_Penduduk,Realisasi_APBD
SULAWESI UTARA,2021,312875.19,857.2,54034120.0,6.0,123096.25,2621900.0,0.0
SULAWESI UTARA,2022,485946.26,1331.35,59020570.0,15.0,271123.83,,0.0
SULAWESI UTARA,2023,492706.85,1349.87,64130960.0,15.0,292582.91,,0.0
SULAWESI UTARA,2024,456409.67,1250.43,69352240.0,14.0,282732.28,2701800.0,0.0
SUMATERA BARAT,2019,385930.44,1057.33,44885510.0,,,,
SUMATERA BARAT,2020,487547.99,1335.75,43825660.0,,,,
SUMATERA BARAT,2021,425490.74,1165.73,45218160.0,8.0,108348.7,5534500.0,0.0
SUMATERA BARAT,2022,987214.09,2704.69,50263830.0,19.0,430315.96,,0.0
SUMATERA BARAT,2023,934638.5399999999,2560.66,54326600.0,18.0,417949.33,,0.0
SUMATERA BARAT,2024,718705.75,1969.0600000000002,57047210.0,15.0,362366.5,5836200.0,0.0
SUMATERA SELATAN,2019,840605.66,2303.04,53359100.0,,,,
SUMATERA SELATAN,2020,1417845.8299999998,3884.5099999999998,53842740.0,,,,
SUMATERA SELATAN,2021,856484.0800000001,2346.5299999999997,57744670.0,15.0,471899.1,8467400.0,0.0
SUMATERA SELATAN,2022,1253536.88,3434.35,68238870.0,20.0,570751.8999999999,,0.0
SUMATERA SELATAN,2023,627779.11,1719.95,71958270.0,23.0,226469.72999999998,,0.0
SUMATERA SELATAN,2024,614159.61,1682.6299999999999,75131730.0,20.0,254721.51,8837300.0,0.0
SUMATERA UTARA,2019,1387495.08,3801.35,54620400.0,2.0,10220.0,,
SUMATERA UTARA,2020,1335152.1300000001,3657.96,54979040.0,4.0,161804.5,,
SUMATERA UTARA,2021,2092364.4600000002,5732.51,57441930.0,20.0,731743.97,14799400.0,0.0
SUMATERA UTARA,2022,2062420.3,5650.49,62922260.0,20.0,944176.5,,0.0
SUMATERA UTARA,2023,1910234.43,5233.53,68305710.0,21.0,921410.91,,0.0
SUMATERA UTARA,2024,1218385.4600000002,3338.05,73574620.0,18.0,640036.97,15588500.0,0.0
